crop,horizon,model,task,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
cabbage,20,ann,target_rise_ge_10pct_h20,603,1548,0.6757105943152455,0.5687074829931973,0.693200663349917,0.624813153961136,628,317,185,418
cabbage,20,xgboost,target_rise_ge_10pct_h20,603,1548,0.665374677002584,0.5549805950840879,0.7114427860696517,0.623546511627907,601,344,174,429
cabbage,20,ridge,target_rise_ge_5pct_h20,676,1548,0.725452196382429,0.6485207100591716,0.8106508875739645,0.7205785667324129,575,297,128,548
cabbage,20,lightgbm,target_rise_ge_5pct_h20,676,1548,0.6834625322997416,0.6042600896860987,0.7973372781065089,0.6875,519,353,137,539
cabbage,20,random_forest,target_rise_ge_5pct_h20,676,1548,0.6892764857881137,0.615112160566706,0.7707100591715976,0.6841759684832567,546,326,155,521
cabbage,20,xgboost,target_rise_ge_5pct_h20,676,1548,0.6537467700258398,0.5772626931567328,0.7736686390532544,0.661188369152971,489,383,153,523
cabbage,20,ann,target_rise_ge_5pct_h20,676,1548,0.6531007751937985,0.5872020075282308,0.6923076923076923,0.6354378818737271,543,329,208,468
cabbage,20,ridge,target_up_h20,743,1548,0.7093023255813954,0.6518134715025907,0.8465679676985195,0.7365339578454333,469,336,114,629
cabbage,20,random_forest,target_up_h20,743,1548,0.6970284237726099,0.6403688524590164,0.8411843876177658,0.7271669575334497,454,351,118,625
cabbage,20,lightgbm,target_up_h20,743,1548,0.6782945736434108,0.6195121951219512,0.8546433378196501,0.7183257918552036,415,390,108,635
cabbage,20,xgboost,target_up_h20,743,1548,0.6660206718346253,0.6101364522417154,0.8425302826379543,0.7077444884115319,405,400,117,626
cabbage,20,ann,target_up_h20,743,1548,0.6453488372093024,0.6135831381733021,0.7052489905787349,0.6562304320601127,475,330,219,524
cauliflower,1,xgboost,target_rise_ge_10pct_h1,381,1548,0.7919896640826873,0.6234309623430963,0.3910761154855643,0.4806451612903226,1077,90,232,149
cauliflower,1,ridge,target_rise_ge_10pct_h1,381,1548,0.7868217054263565,0.6075949367088608,0.3779527559055118,0.46601941747572817,1074,93,237,144
cauliflower,1,lightgbm,target_rise_ge_10pct_h1,381,1548,0.7971576227390181,0.6618357487922706,0.35958005249343833,0.46598639455782315,1097,70,244,137
cauliflower,1,ann,target_rise_ge_10pct_h1,381,1548,0.7525839793281653,0.4963768115942029,0.35958005249343833,0.4170471841704718,1028,139,244,137
cauliflower,1,random_forest,target_rise_ge_10pct_h1,381,1548,0.7932816537467701,0.7293233082706767,0.2545931758530184,0.377431906614786,1131,36,284,97
cauliflower,1,xgboost,target_rise_ge_5pct_h1,541,1548,0.7235142118863049,0.6184486373165619,0.5452865064695009,0.5795677799607073,825,182,246,295
cauliflower,1,ridge,target_rise_ge_5pct_h1,541,1548,0.7312661498708011,0.642369020501139,0.5212569316081331,0.5755102040816327,850,157,259,282
cauliflower,1,lightgbm,target_rise_ge_5pct_h1,541,1548,0.7241602067183462,0.6261061946902655,0.5231053604436229,0.5699899295065458,838,169,258,283
cauliflower,1,ann,target_rise_ge_5pct_h1,541,1548,0.6737726098191215,0.5407239819004525,0.4417744916820702,0.4862665310274669,804,203,302,239
cauliflower,1,random_forest,target_rise_ge_5pct_h1,541,1548,0.7099483204134367,0.6474358974358975,0.3733826247689464,0.47362250879249707,897,110,339,202
cauliflower,1,xgboost,target_up_h1,788,1548,0.6640826873385013,0.6462882096069869,0.751269035532995,0.6948356807511737,436,324,196,592
cauliflower,1,ridge,target_up_h1,788,1548,0.6737726098191215,0.6666666666666666,0.7182741116751269,0.6915088576664631,477,283,222,566
cauliflower,1,lightgbm,target_up_h1,788,1548,0.6666666666666666,0.6585081585081585,0.7170050761421319,0.6865127582017011,467,293,223,565
cauliflower,1,random_forest,target_up_h1,788,1548,0.6511627906976745,0.632762312633833,0.75,0.686411149825784,417,343,197,591
cauliflower,1,ann,target_up_h1,788,1548,0.6304909560723514,0.6747572815533981,0.5291878172588832,0.5931721194879089,559,201,371,417
cauliflower,5,xgboost,target_rise_ge_10pct_h5,491,1548,0.7202842377260982,0.5625,0.5315682281059063,0.5465968586387434,854,203,230,261
cauliflower,5,ridge,target_rise_ge_10pct_h5,491,1548,0.7416020671834626,0.6206896551724138,0.47657841140529533,0.5391705069124424,914,143,257,234
cauliflower,5,lightgbm,target_rise_ge_10pct_h5,491,1548,0.7093023255813954,0.5456570155902004,0.4989816700610998,0.5212765957446809,853,204,246,245
cauliflower,5,random_forest,target_rise_ge_10pct_h5,491,1548,0.727390180878553,0.5966386554621849,0.43380855397148677,0.5023584905660378,913,144,278,213
cauliflower,5,ann,target_rise_ge_10pct_h5,491,1548,0.6608527131782945,0.46653543307086615,0.48268839103869654,0.4744744744744745,786,271,254,237
cauliflower,5,ridge,target_rise_ge_5pct_h5,632,1548,0.6834625322997416,0.6263345195729537,0.5569620253164557,0.5896147403685092,706,210,280,352
cauliflower,5,lightgbm,target_rise_ge_5pct_h5,632,1548,0.667312661498708,0.5973377703826955,0.5680379746835443,0.5823195458231955,674,242,273,359
cauliflower,5,xgboost,target_rise_ge_5pct_h5,632,1548,0.6582687338501292,0.5848434925864909,0.5617088607594937,0.5730427764326069,664,252,277,355
